category,product_name,price,sales_point,product_code,variation_text,ec_url,image_url
チェア,AXISU アクシスエルゴコアオフィスチェア,66290,★可動ヘッドレスト＋座面上下・前後調整\n★メッシュ背×高密度ウレタンで蒸れにくい\n★135°リクライニング、仕事⇄休憩が快適,mj002505002001,グレー · 幅76×奥行50×高さ105-137,https://caguuu.com/products/mj002505002?sku=18070213306786469232604095,https://img.myshopline.com/image/store/1726464192427/mj002505002001-sku-7.jpeg?w=1000&h=1000
チェア,AXISU アクシスネオスマートオフィスチェア,32690,★通気性メッシュで蒸れにくい背面構造\n★昇降機能付きで体格に合わせて調整\n★在宅ワーク・オフィス両対応チェア,sqlj2506001001,ブラック · 幅72×奥行72×高さ117-131,https://caguuu.com/products/sqlj2506001,https://img.myshopline.com/image/store/1726464192427/sqlj2506001001-sku.jpeg?w=1000&h=1000
チェア,AXISU アクシスレザーリュクスオフィスチェア,132290,★5Dアーム・3段背もたれで体格に追従\n★135°リクライニング＋フットレスト搭載\n★3Dヘッド＆ランバーで在宅作業が楽に,mj002505001002,グレー · 幅68×奥行73×高さ106-137,https://caguuu.com/products/mj002505001?sku=18070128514925883986754095,https://img.myshopline.com/image/store/1726464192427/mj002505001002-sku-2.jpeg?w=1000&h=1000
チェア,AXISU アクシスロイヤルレザーオフィスチェア,204890,★最大130°リクライニング＋4段階ロックで姿勢安定\n★高密度メッシュ背×多層クッションで通気＆体圧分散\n★在宅ワーク〜ゲーミング、仮眠はフットレストで快適,mj002505005001,ブラック · 幅75-83×奥行70×高さ109-136,https://caguuu.com/products/mj002505005,https://img.myshopline.com/image/store/1726464192427/mj002505001003.jpg?w=1000&h=1000
テーブル,Kraft Paper クラフト紙砂時計型サイドテーブル,16500,★ハニカム構造クラフト紙＋強化ガラスで軽量＆しっかり安定\n★折りたたみ式で省スペース、使わないときはコンパクト収納\n★リビング・寝室・オフィスで活躍、インテリアに合わせて3色から選べる,sbz02501023011,ガラスパネル · [B]幅56×奥行56×高さ37,https://caguuu.com/products/sbz02501023?sku=18068908217781020333804095,https://img.myshopline.com/image/store/1726464192427/sbz02501023011_1800x.jpg?w=1000&h=1000&q=80
ベッド,Kraft Paper アコーディオン型クラフトベッド,47300,★折りたたみ式で省スペース、収納時は厚さ9cmのコンパクト設計で持ち運びも簡単\n★ベッド・ソファ・スツールの3WAY仕様、多用途で空間を有効活用\n★ハニカム構造で高耐荷重（最大1000kg）、両面生地でオールシーズン快適,sbzcl0011,ブラウン · [B]シングル・幅90×奥行き200×高さ38,https://caguuu.com/products/sbz0001?sku=18072783867308846702264095,https://img.myshopline.com/image/store/1726464192427/sbzcl0011_1800x.jpg?w=1000&h=1000&q=80
テーブル,Kraft Paper ドラム型サイドテーブル,16500,★小物収納スペース＋ディスプレイ天板の2層構造で、収納と飾りを両立\n★クラフト紙ハニカム構造で軽量ながらしっかり安定、環境に優しいエコ素材\n★折りたたみ式のコンパクト設計、グレー・ホワイトの2色から選べる,sbzjl0006,ホワイト · タイプA・幅41×奥行41×高さ48.5,https://caguuu.com/products/sbz0006,https://img.myshopline.com/image/store/1726464192427/sbzjl0006-detail-1_1800x.jpg?w=1000&h=1000&q=80
チェア,Kraft Paper 折りたたみクラフト紙ラウンドスツール,7700,★折りたたみ式スツールで、使わないときは雑誌サイズまで薄くなるコンパクト設計\n★ハニカム構造で高耐久＆安定感、最大300kgの耐荷重\n★PUレザークッション付きで座り心地快適、撥水加工でお手入れ簡単,sbzyl0007,ブラウン ·[C]通常タイプ・幅36×奥行36×高さ44,https://caguuu.com/products/sbz0007?sku=18072783729820568209994095,https://img.myshopline.com/image/store/1726464192427/sbzyl0007_1800x.jpg?w=1000&h=1000&q=80
チェア,Kraft Paper 伸長式 クラフト紙ロングスツール,26400,★伸縮式デザインで、使わない時は折りたたんで省スペース収納\n★PUレザークッション付きで、快適な座り心地のスツール\n★ハニカム構造で耐荷重300kg、4色展開でインテリアに合わせて選べる,sbzyl0072,ブラック · [B]幅135×奥行37×高さ41,https://caguuu.com/products/sbz0008?sku=18072783762107984856014095,https://img.myshopline.com/image/store/1726464192427/sbzyl0072_1800x.jpg?w=1000&h=1000&q=80
チェア,Kraft Paper アコーディオン型ロングスツール,33000,★アコーディオン構造で直線・曲線など自由に形を変えられ、空間に合わせたレイアウトが可能\n★ハニカム構造でしっかり安定、1席あたり最大200kgの高耐荷重\n★クラフト紙のエコ素材を使用し、環境に優しくインテリアにも調和するデザイン,sbzyl0076,ブラウン ·[E]六人掛け・幅300×奥行31×高さ44,https://caguuu.com/products/sbz0009?sku=18072783863557293432304095,https://img.myshopline.com/image/store/1726464192427/sbzyl0076-9_1800x.jpg?w=1000&h=1000&q=80
テーブル,Kraft Paper ドラム型サイドテーブル,17600,★小物収納スペース＋ディスプレイ天板の2層構造で、収納と飾りを両立\n★クラフト紙ハニカム構造で軽量ながらしっかり安定、環境に優しいエコ素材\n★折りたたみ式のコンパクト設計、グレー・ホワイトの2色から選べる,sbzjl0046,グレー · タイプB・幅56.5×奥行56.5×高さ39,https://caguuu.com/products/sbz0006?sku=18072783823057932870334095,https://img.myshopline.com/image/store/1726464192427/sbzjl0046-detail-4_1800x.jpg?w=1000&h=1000&q=80
チェア,Kraft Paper 折りたたみクラフト紙ラウンドスツール,6600,★折りたたみ式スツールで、使わないときは雑誌サイズまで薄くなるコンパクト設計\n★ハニカム構造で高耐久＆安定感、最大300kgの耐荷重\n★PUレザークッション付きで座り心地快適、撥水加工でお手入れ簡単,sbzyl0052,ホワイト ·[B]通常タイプ・幅32×奥行32×高さ37,https://caguuu.com/products/sbz0007?sku=18072783729820568210184095,https://img.myshopline.com/image/store/1726464192427/sbzyl0052.jpg?w=1000&h=1000&q=80
チェア,Kraft Paper 折りたたみクラフト紙ラウンドスツール,6600,★折りたたみ式スツールで、使わないときは雑誌サイズまで薄くなるコンパクト設計\n★ハニカム構造で高耐久＆安定感、最大300kgの耐荷重\n★PUレザークッション付きで座り心地快適、撥水加工でお手入れ簡単,sbzyl0053,レッド · [B]通常タイプ・幅32×奥行32×高さ37,https://caguuu.com/products/sbz0007?sku=18072783729820735982544095,https://img.myshopline.com/image/store/1726464192427/sbzyl0053_1800x.jpg?w=1000&h=1000&q=80
チェア,Kraft Paper アコーディオン型ロングスツール,18700,★アコーディオン構造で直線・曲線など自由に形を変えられ、空間に合わせたレイアウトが可能\n★ハニカム構造でしっかり安定、1席あたり最大200kgの高耐荷重\n★クラフト紙のエコ素材を使用し、環境に優しくインテリアにも調和するデザイン,sbzyl0093,ブラック・[D]三人掛け・幅150×奥行31×高さ44,https://caguuu.com/products/sbz0009?sku=18072783863557461205344095,https://img.myshopline.com/image/store/1726464192427/sbzyl0093-9.jpg?w=1000&h=1000&q=80